Model,Accuracy,n_estimators,Kernel,C,Gamma,Decision Function Shape
Decision Tree,0.13,,,,,
Random Forrest Model,0.19,100,,,,
ADABoost Classifier,0.37,100,,,,
GradientBoost Classifier,0.37,100,,,,
ADABoost Classifier (PCA = 20),0.39,100,,,,
SVM (RandomisedSeach),0.39,,Linear,1,0.0001,OVR
,,,,,,
,,,,,,
,ADABoost Classifier Confusion Matrix,,,,,
,,Cause 1,Cause 2,Cause 3,Cause 4,Cause 5
,Cause 1,7,1,3,440,9
,Cause 2,6,10,4,378,6
,Cause 3,9,2,4,358,6
,Cause 4,18,10,5,1010,16
,Cause 5,5,11,2,357,12
,,,,,,
,,,,,,
,SVM Confusion Matrix,,,,,
,,Cause 1,Cause 2,Cause 3,Cause 4,Cause 5
,Cause 1,0,0,0,446,0
,Cause 2,6,0,0,404,0
,Cause 3,0,0,0,379,0
,Cause 4,0,0,0,1059,0
,Cause 5,0,11,0,387,0
